record_id,species_name,common_name,plant_type,region,country,year,height_m,dbh_cm,wood_density_g_cm3,agb_kg,bgb_kg,carbon_storage_kg,total_CO2eq_stored_kg,annual_C_kg,annual_CO2_kg,annual_growth_rate_pct,co2_absorption_change_rate_pct,mortality_rate,leaf_area_index,canopy_m2,root_depth_m,mean_temp_C,annual_rainfall_mm,soil_type,soil_carbon_percent,altitude_m,latitude,longitude,urban_density_index,land_use_type,maintenance_cost_usd_per_year,policy_zone,iucn_status,biodiversity_value,habitat_loss_percent,protected_area_presence,invasive_risk_score,source
R000001,Mangifera indica var2,Mango (var2),tree,Africa,Ethiopia,2008,14.98,32.235,0.628,977.092,218.285,561.827,2060.033,14.3143,52.4856,2.55,-1.2,0.0121,4.828,61.162,2.308,20.71,530.4,Loam,2.95,0.0,12.905382,-118.611315,58.62,campus,12.02,low,DD,0.859,37.59,0,0.191,Hybrid-synthetic (modeled from literature distributions)
R000002,Jacaranda mimosifolia var5,Jacaranda (var5),tree,Oceania,Fiji,2017,17.685,40.821,0.474,1396.015,371.372,830.672,3045.797,7.8739,28.8708,0.95,1.78,0.0231,2.984,7.692,2.158,10.16,335.9,Sandy,2.738,359.1,27.48086,97.657325,40.32,natural_forest,12.31,none,LC,0.427,3.19,0,0.225,Hybrid-synthetic (modeled from literature distributions)
R000003,Delonix regia var8,Flame tree (var8),tree,Asia,China,2016,6.965,28.816,0.59,341.06,85.14,200.314,734.486,13.9204,51.0416,6.95,-1.58,0.01,4.171,42.891,1.172,26.17,1377.9,Peaty,1.924,0.0,48.907977,-90.254798,33.08,urban_park,25.85,low,DD,0.937,0.0,0,0.308,Hybrid-synthetic (modeled from literature distributions)
R000004,Lantana camara var8,Lantana (var8),flower,North America,United States,2014,0.897,0.0,,0.129,0.016,0.068,0.249,0.0182,0.0668,26.76,0.52,0.277,0.787,0.866,0.249,11.78,1384.3,Peaty,1.672,49.0,-21.215648,6.764624,35.85,residential_yard,36.42,none,NT,0.548,8.57,1,0.0,Hybrid-synthetic (modeled from literature distributions)
R000005,Cinnamomum verum,Cinnamon (common),tree,Europe,France,2004,11.553,5.0,0.547,15.794,3.834,9.225,33.825,0.3699,1.3563,4.01,-1.13,0.0272,3.123,32.696,0.973,8.45,627.6,Loam,2.34,165.7,-55.106983,32.72146,17.91,green_roof,43.96,none,LC,0.403,0.0,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000006,Cedrus deodara var3,Deodar cedar (var3),tree,Africa,Tanzania,2011,12.055,27.689,0.628,580.32,131.242,334.434,1226.259,6.8287,25.0386,2.04,0.59,0.0152,1.533,13.223,2.74,26.25,407.7,Peaty,3.307,936.5,33.585066,51.131393,6.17,residential_yard,12.64,none,DD,0.412,17.22,1,0.173,Hybrid-synthetic (modeled from literature distributions)
R000007,Terminalia brownii var4,Terminalia (var4),tree,South America,Brazil,2012,7.714,72.315,0.607,2448.075,729.022,1493.236,5475.197,17.5295,64.275,1.17,5.44,0.0315,3.881,11.82,0.899,27.61,1839.6,Sandy,1.132,870.3,-36.570841,80.082761,38.32,residential_yard,19.89,moderate,CR,0.286,20.27,0,0.072,Hybrid-synthetic (modeled from literature distributions)
R000008,Milicia excelsa var3,Iroko (var3),tree,Oceania,Australia,2001,12.252,32.255,0.535,682.061,235.31,431.164,1580.936,12.4335,45.5897,2.88,1.03,0.0328,3.888,16.128,0.5,18.86,377.1,Chalky,2.385,352.0,-24.768979,111.370016,13.27,campus,59.84,moderate,LC,0.749,22.83,0,0.31,Hybrid-synthetic (modeled from literature distributions)
R000009,Salix babylonica var8,Weeping willow (var8),tree,Africa,South Africa,2008,35.116,46.418,0.686,5192.456,1585.231,3185.513,11680.214,7.9026,28.9762,0.25,-1.3,0.0225,3.279,57.047,0.578,19.58,884.1,Silty,0.212,479.2,4.876215,49.474765,36.86,green_roof,48.85,low,VU,0.795,18.8,0,0.128,Hybrid-synthetic (modeled from literature distributions)
R000010,Moringa oleifera var6,Moringa (var6),tree,Asia,Vietnam,2008,12.091,43.841,0.676,1570.441,377.887,915.714,3357.619,48.1892,176.6936,5.26,0.89,0.033,2.246,18.299,1.408,16.0,999.3,Chalky,1.347,62.5,-46.071283,-163.439049,47.88,roadside,11.25,low,CR,0.646,24.67,0,0.0,Hybrid-synthetic (modeled from literature distributions)
